city,osm_id,name,highway,lanes,maxspeed,surface,bridge,tunnel,lit,sidewalk,oneway,cycleway,segment_length,segment_width,mean_curvature
Antipolo,27906491,Kapalaran Street,tertiary,2,40,concrete,0,0,1,1,0,0,266.9130977083924,26.33733607416711,0.0009291978509409559
Antipolo,4794436,Katipunan Extension Street,tertiary,2,30,concrete,0,0,1,0,0,0,600.51256628506,21.145557846977425,0.006614252113440022
Antipolo,4357072,Katipunan Street,tertiary,2,40,concrete,0,0,1,1,0,1,1140.2055090066772,25.016671592913326,0.0008335606838115813
Antipolo,23212228,Kaysipot Road,tertiary,2,40,concrete,0,0,0,0,0,0,1564.3548520396805,20.196525633272636,0.005543935268263741
Antipolo,276158544,Kaytikling Rotonda,primary,2,80,asphalt,0,0,1,0,1,0,78.70528196069125,58.86135544346164,0.06702387384387422
Antipolo,31536627,Kingsway,tertiary,2,40,concrete,0,0,0,0,0,0,2222.812446770057,20.551101033143805,0.008503828090008237
Antipolo,1413408841,Korea Street,tertiary,2,40,asphalt,0,0,1,1,1,0,63.139108601180304,24.967679249018598,1.2330390286598996e-05
Antipolo,29042992,L. Wood Street,secondary,2,60,asphalt,0,0,1,1,1,0,1751.8664420428277,25.71309603638068,0.001459730155698888
Antipolo,22663870,L. de Guzman Street,tertiary,2,40,asphalt,0,0,1,1,0,0,112.16650803618896,22.79633088567118,0.000326956136836168
Antipolo,405582505,La Trinidad Street,tertiary,2,40,concrete,0,0,0,0,0,0,974.8646624471234,23.839713712002123,0.01549229988371538
Antipolo,1320022131,Langka Street,tertiary,2,40,concrete,0,0,0,0,1,0,76.05461950482427,24.122924314297208,0.008363570706895048
Antipolo,41741228,Liamzon Street,tertiary,2,40,concrete,0,0,1,1,0,0,464.85651666155167,23.949355623907213,0.000517715660950259
Antipolo,55916459,Lico Circle,primary,2,80,concrete,0,0,1,1,0,0,88.8905439212115,34.42543280063945,0.06976194571873526
Antipolo,25401674,Lilac Street,secondary,2,30,concrete,1,0,1,1,0,1,1696.5192052793022,35.43823077632039,0.000448926044357996
Antipolo,27904977,Linden Street,tertiary,2,40,concrete,0,0,0,0,0,0,160.47015657887383,21.951771714523545,0.004240311217378634
Antipolo,4794405,Liwasang Kalayaan Street,tertiary,1,30,asphalt,0,0,1,1,1,0,1674.1154893611683,29.071837264680465,0.006295961029791074
Antipolo,105251300,London Street,tertiary,2,40,concrete,0,0,0,0,0,0,243.30861379288578,40.14379068433777,0.005019059620655439
Antipolo,4794394,Lope K. Santos Street,tertiary,2,20,concrete,0,0,1,1,0,0,432.50433113084,20.725075086700173,0.0008529792655762467
Antipolo,69717305,Loreland Road,tertiary,2,40,concrete,0,0,0,0,0,0,625.0743959611995,20.501531562868166,0.0017788049491822646
Antipolo,25776005,Louis Street,tertiary,2,40,concrete,0,0,0,0,0,0,95.18221116749748,23.295307801322345,0.0004976368096229253
Antipolo,229527026,M. Cruz Street,tertiary,2,40,concrete,0,0,0,0,0,0,210.60459963168074,21.489306518252,0.00015100279025139803
Antipolo,4928872,M. H. Del Pilar Street,tertiary,2,40,concrete,0,0,0,0,1,0,1106.0414141260126,20.937819285247944,0.002182441726796163
Antipolo,135489123,M. H. del Pilar Avenue,tertiary,2,40,asphalt,1,0,0,1,0,0,4959.499058876857,22.260099660955305,0.0024900961217067747
Antipolo,60968113,M. L. Quezon Extension,secondary,4,60,concrete,0,0,1,1,0,0,2898.445657969024,30.263250510497098,0.0010185013627850175
Antipolo,47972022,M. L. Quezon Street,secondary,2,60,asphalt,1,0,1,1,1,0,2781.115091688884,28.742681417785533,0.0008349466244485546
Antipolo,23212247,M. Santos Extension,tertiary,2,40,concrete,0,0,1,0,0,0,2281.3126165493754,21.53681794061823,0.004934589665339437
Antipolo,137912235,M. Santos Street,tertiary,1,40,concrete,0,0,1,0,1,0,999.1139396522431,28.170058237853425,0.001471965741291971
Antipolo,199028571,Macedonia,tertiary,2,40,concrete,0,0,0,0,0,0,129.66973823295024,22.41886966989452,0.0006054170271596115
Antipolo,30162645,Madrid,tertiary,2,40,concrete,0,0,0,0,1,0,191.25310007938987,21.639716053864298,0.0020009649363179178
Antipolo,229651726,Maguey Road,tertiary,2,40,concrete,0,0,0,1,0,1,1579.0929866229676,20.197365149038824,0.004546813855873396
Antipolo,47409980,Maia Alta Access Road,tertiary,2,40,concrete,0,0,0,0,1,0,844.3982238460442,24.863680028528083,0.02234106287826317
Antipolo,47409854,Maia Alta Roundabout,tertiary,2,40,concrete,0,0,0,0,1,0,75.54978098881801,19.953363364428228,0.0830365781748869
Antipolo,38860865,Main Road,tertiary,2,40,concrete,0,0,0,0,0,0,845.1797606215347,22.65378485431834,0.0017176337248329203
Antipolo,29061178,Manila East Road,primary,4,80,concrete,1,0,1,1,1,0,1146.9902194498525,31.603330833157038,0.00021261412195391942
Antipolo,51125781,Manila Street,tertiary,2,40,concrete,0,0,0,0,0,0,153.47784439152673,29.516166497186873,0.0023346071054909886
Antipolo,4709154,Marcos Highway,primary,3,80,asphalt,1,0,1,1,1,1,23325.44887293426,24.381644565934916,0.002623056220608498
Antipolo,23260731,Marick Drive,tertiary,2,40,asphalt,0,0,0,0,0,0,147.58680889715382,22.12522229717348,1.6157763606537893e-05
Antipolo,25843148,Marigman Road,secondary,2,60,concrete,0,0,1,0,0,0,720.3602041199211,22.813773595947747,0.00297731109905082
Antipolo,55916447,Marigman Road Extension,tertiary,2,40,asphalt,0,0,0,0,0,0,2345.970291477871,20.94030907994954,0.004163447092125142
