osm_id,existing_maxspeed,highway,classification,mean_curvature,population,segment_length_km,cap_reason,rf_rec_10pct,rf_rec_20pct,rf_rec_30pct,rf_rec_40pct,rf_rec_50pct,rf_rec_60pct,rf_rec_70pct,rf_rec_80pct,rf_rec_90pct,rf_rec_100pct,has_valid_rec
41802911,30,tertiary,Urban,0.0003317127881,2960048,0.4475126072,Urban - short/dense/curvy,,,,,,,,,,,False
154520875,40,tertiary,Urban,0.0002242565754,1503456,0.7339401812,Urban - short/dense/curvy,,,,,,,,,,,False
1288106036,40,tertiary,Rural,0.000401375799,109499,0.2733551523,Rural - short or curved,40.0,,,,,,,,,,True
118535170,40,tertiary,Urban,0.002432384258,2051899,0.4646972185,Urban - short/dense/curvy,,,,,,,,,,,False
43449056,40,tertiary,Urban,0.0005240717057,2051899,1.085620357,Urban - short/dense/curvy,,,,,,,,,,,False
405582505,40,tertiary,Urban,0.01549229988,887399,0.9748646624,Urban - short/dense/curvy,,,,,,,,,,,False
109037239,40,tertiary,Rural,0.00203503488,38302,5.064339208,Rural - short or curved,,,,,,,,,,,False
30705201,40,tertiary,Urban,0.007310056698,651813,0.9477116795,Urban - short/dense/curvy,,,,,,,,,,,False
96383808,40,trunk,Urban,0.0006478758012,174302,1.36522236,Urban - major/long road,,,,,,,,,,,False
37729738,40,tertiary,Urban,0.005181930034,3325385,0.551459294,Urban - short/dense/curvy,,,,,,,,,,,False
107030067,60,primary,Urban,0.00191581076,977234,2.756840523,Urban - short/dense/curvy,,,,,,,,,,,False
2679610,60,secondary,Urban,0.006254282846,1503456,0.3980637451,Urban - short/dense/curvy,,,,,,,,,,,False
