osm_id,existing_maxspeed,highway,classification,rf_rec_10pct,rf_rec_20pct,rf_rec_30pct,rf_rec_40pct,rf_rec_50pct,rf_rec_60pct,rf_rec_70pct,rf_rec_80pct,rf_rec_90pct,rf_rec_100pct
108398742,30,tertiary,Urban,,,,,,,,,,
384278394,80,tertiary,Urban,,,,,,,,,,
226363213,40,tertiary,Urban,,,,,,,,,,
52252195,30,tertiary,Urban,,,,,,,,,,
172525197,50,secondary,Urban,,,,,,,,,,
16852930,40,tertiary,Urban,,,,,,,,,,
4372918,40,tertiary,Urban,,,,,,,,,,
184104933,40,tertiary,Urban,,,,,,,,,,
908051871,40,tertiary,Urban,,,,,,,,,,
692110980,50,tertiary,Urban,,,,,,,,,,
47244775,40,tertiary,Urban,,,,,,,,,,
57847575,40,tertiary,Urban,,,,,,,,,,
80729012,50,secondary,Urban,,,,,,,,,,
75612286,40,tertiary,Urban,,,,,,,,,,
79143073,20,tertiary,Urban,,,,,,,,,,
560915405,60,tertiary,Urban,,,,,,,,,,
199028571,40,tertiary,Urban,,,,,,,,,,
588420890,40,tertiary,Rural,,,,,,,,,,
109201321,30,secondary,Urban,,,,,,,,,,
28104114,30,tertiary,Rural,,,,,,,,,,
389124570,40,tertiary,Rural,,,,,,,,,,
1344564680,40,tertiary,Urban,,,,,,,,,,
219896536,60,tertiary,Urban,,,,,,,,,,
245271328,60,secondary,Urban,,,,,,,,,,
153136158,20,tertiary,Rural,,,,,,,,,,
112964308,40,tertiary,Urban,,,,,,,,,,
664980582,80,secondary,Urban,,,,,,,,,,
129283926,80,tertiary,Urban,,,,,,,,,,
90967359,30,tertiary,Urban,,,,,,,,,,
1364228811,40,secondary,Urban,,,,,,,,,,
5067172,30,secondary,Urban,,,,,,,,,,
692493532,60,secondary,Rural,,,,,,,,,,
150874613,40,tertiary,Urban,,,,,,,,,,
158630864,30,tertiary,Urban,,,,,,,,,,
4948197,30,tertiary,Urban,,,,,,,,,,
28535463,60,secondary,Urban,,,,,,,,,,
23489197,60,primary,Urban,,,,,,,,,,
867866302,80,tertiary,Urban,,,,,,,,,,
28956724,40,secondary,Urban,,,,,,,,,,
28375814,30,secondary,Urban,,,,,,,,,,
28854022,30,tertiary,Urban,,,,,,,,,,
99453576,40,tertiary,Urban,,,,,,,,,,
1078181380,40,tertiary,Rural,,,,,,,,,,
194060239,80,primary,Urban,,,,,,,,,,
4943114,30,tertiary,Urban,,,,,,,,,,
157386148,80,tertiary,Urban,,,,,,,,,,
27751246,40,tertiary,Urban,,,,,,,,,,
274202207,40,tertiary,Urban,,,,,,,,,,
25937030,40,tertiary,Urban,,,,,,,,,,
51996833,40,tertiary,Urban,,,,,,,,,,
922436204,40,tertiary,Rural,,,,,,,,,,
142228440,40,tertiary,Urban,,,,,,,,,,
28321133,40,tertiary,Urban,,,,,,,,,,
47108201,40,tertiary,Urban,,,,,,,,,,
206474865,40,tertiary,Rural,,,,,,,,,,
53728472,40,tertiary,Urban,,,,,,,,,,
78136501,40,tertiary,Urban,,,,,,,,,,
118251175,80,primary,Urban,,,,,,,,,,
36495831,40,tertiary,Urban,,,,,,,,,,
152843298,60,secondary,Urban,,,,,,,,,,
247777159,40,tertiary,Urban,,,,,,,,,,
