osm_id,lanes,segment_width,mean_curvature,population,segment_length_km,composite_risk,priority
1293303904,2,20.96899829,0.003703008278,2051899,0.3233983871,0.6307019234805852,False
23212320,2,24.16851289,0.000988598989,2960048,2.546117482,0.8192920844744183,False
80677124,2,21.81850134,0.005184468664,3325385,15.04796233,0.9947437898163409,False
1304736613,2,22.30266337,0.00208130077,651813,0.1362088517,0.35691992496854125,False
1391081455,2,33.25883653,0.0002505506823,2051899,0.6945183104,0.6918830514301753,False
22979738,2,22.7061839,0.001016229498,2960048,0.4732337451,0.794728454963195,False
22952883,2,26.89711395,0.006073875433,2960048,4.23247403,0.8948190304311391,False
547223474,4,22.54309441,0.001838225924,5243536,7.770248356,1.6879894667373345,True
109340334,2,20.33799301,0.005424125633,5243536,3.669861461,1.2750843547216004,True
687923745,2,20.25025918,0.001687144828,1275185,2.608830379,0.4750124739444,False
166905339,2,23.63638203,0.002013495185,1275185,4.540585315,0.515565134023116,False
90610186,2,20.37247976,0.002231580856,728402,0.8415883849,0.3638129265115394,False
27086361,2,24.97019291,0.001364376571,3325385,115.5126272,1.675069164733733,True
166220880,2,21.954015,0.0006986604553,372910,1.118760639,0.2957429061993689,False
23747127,2,22.76235203,0.01303204334,2960048,0.2523446425,0.8981596751418834,False
1010879848,2,25.03377641,0.0005425198999,2051899,1.211257369,0.6386351436377169,False
55822155,2,23.44738233,0.0007138928191,600783,1.92378209,0.35580507873398487,False
68310849,4,20.28699307,0.001086214515,2051899,1.092362549,1.0083013736097057,False
85049443,2,23.99992154,0.005726486884,2051899,10.00328391,0.7367363416636238,False
94081019,2,23.19319588,0.000332079988,3325385,0.2088063621,0.8604047837702778,False
553976430,1,49.66687315,0.01107712961,703141,0.2919858424,0.44351053924655137,False
25845123,2,22.47330231,0.003413984024,887399,0.7708305698,0.4192063312525633,False
26302583,2,25.76067856,0.01650901709,887399,1.722216255,0.5634005584056225,False
23520669,2,28.44190608,0.00678346977,209170,1.629537455,0.3676615687464329,False
173056931,2,20.07167341,0.001323691619,5243536,4.365317262,1.2422688219375446,True
799533700,2,64.00351276,0.001345049358,2960048,0.2774466307,1.0941915528275752,False
369348565,2,20.25183912,0.0004677469831,697315,1.245323033,0.3444215781082776,False
127012099,2,24.16235406,0.0007823405645,2051899,6.279452274,0.6692850316583495,False
28957488,2,26.72933805,0.001395624655,3325385,1.077661599,0.9011450246802422,False
113778936,2,20.83040372,3.12e-06,109499,0.3777136345,0.22606648272381402,False
247106404,2,29.33251157,0.0004200925056,2051899,1.083828523,0.6677078621325914,False
211228422,2,20.07562356,0.005089486154,5243536,4.084422186,1.2731305059972204,True
372150049,2,20.151604,0.001573005486,205424,2.066117121,0.2648001794012126,False
28819598,4,33.10440161,0.002937808803,887399,2.232617627,0.9018153364519675,False
222494313,2,21.63370168,0.0007833865219,3325385,1.073677421,0.8590272209841837,False
269944886,4,39.98797379,0.0008824911404,2051899,0.2159986985,1.1426396856506267,False
389682614,2,21.64313858,0.006147663597,2051899,0.1906907446,0.6559231039724587,False
782901154,2,21.33068358,0.007554746586,1503456,10.69788963,0.6331778755885831,False
163214932,2,21.17477419,0.0005183877216,3325385,0.6505606267,0.8505010666177515,False
53456183,2,21.73435213,0.001050650605,600783,1.180525986,0.3412652087309915,False
157402436,2,20.32086909,0.001765136032,3325385,2.186495483,0.8657493824646681,False
84883410,2,22.00922078,0.001893893553,2051899,0.8332352064,0.6259722196716546,False
23519600,2,28.25609093,0.001160921208,209170,0.148344957,0.30721627139312563,False
31888590,2,20.59526045,0.001666486644,2051899,0.5265748143,0.6116836356640724,False
225520527,2,21.98149011,0.005754569981,121033,28.24790543,0.47826366839000534,False
191850306,3,24.20506342,0.002774229417,2051899,3.744916251,0.8694956117083631,False
31536714,2,30.74114046,0.001298143734,887399,4.539985457,0.4863651238682619,False
31759712,4,28.72916472,0.001261495631,38302,1.723654869,0.6896288441330745,False
237456935,2,21.82832366,0.005438558657,600783,0.1714686699,0.37318208385512,False
13752930,4,20.56242234,0.001543038124,2960048,0.5563648331,1.1844170148615007,False
732015271,2,20.23444888,0.01188673926,5243536,1.314430035,1.3143693538277543,True
497536845,4,23.87677006,0.0005878801861,251881,1.450834745,0.6877670264770807,False
108422456,2,20.09730682,0.003906212128,1503456,3.194694974,0.5409408223648313,False
23907787,2,21.52876939,0.004109141821,2960048,0.2049888494,0.8112994320602832,False
1009021143,2,21.76748193,0.0005113826224,2051899,0.177457928,0.6076901445601515,False
57743591,2,20.16637047,0.0002738596038,697315,1.885211643,0.34651806636445953,False
202390943,4,23.85600966,0.00482290588,703141,1.231557151,0.809337734536429,False
91362842,2,23.36866963,0.0002804089251,703141,0.1862266544,0.3591112387882587,False
13752595,2,20.42226378,0.003024969024,2960048,0.7416445367,0.7975735464782133,False
770972272,2,30.78924358,0.002015596994,1503456,5.565713066,0.6179344001572137,False
97677545,2,23.89671691,0.003999800475,2960048,0.08048426428,0.8265760328296858,False
246869360,2,20.12036122,0.001118678207,2051899,2.602928042,0.6177687091019403,False
149096526,2,23.89308864,0.008144315988,728402,1.977307655,0.44846703601440363,False
108179548,2,21.88279152,0.002942664775,5243536,2.863781327,1.2590965796492442,True
85049429,2,20.48246441,0.001370787705,2051899,2.035504045,0.6186729155146147,False
266119608,2,21.60466912,0.002653420686,2960048,0.5603245278,0.8016247590928014,False
72472581,2,33.31841764,0.009800525691,3325385,0.8021965224,1.019916923330194,False
5707692,2,24.40194232,0.001896458331,2960048,0.6778616997,0.8160284747879077,False
166219950,2,22.40295497,0.004476647825,372910,0.4422516995,0.3272007952637487,False
23520149,2,21.67151248,0.0009119318453,209170,0.6462294551,0.26096765347888057,False
155436839,2,21.54766486,0.0004352025017,1503456,9.009044048,0.5611859868058265,False
115233269,2,22.22280465,0.001096123799,5243536,0.1411061744,1.2267617514592632,False
91734406,3,30.48640812,0.0005828283631,703141,26.55787384,0.7944339591005486,False
28788664,4,32.44270022,0.001627890716,2960048,0.2378708396,1.268678045461414,True
28951497,2,21.23361863,9.25e-05,3325385,0.7312728076,0.8477751307445717,False
20528779,2,22.50748935,0.003969021132,2960048,0.4981449161,0.8191573078791564,False
23241531,2,21.08675982,0.0004040140752,651813,0.5789903576,0.33659880732482195,False
31536627,2,20.55110103,0.00850382809,887399,2.222812447,0.4596071776876008,False
45095282,2,20.7125705,0.01724128471,366358,1.323694502,0.4308721073766523,False
124692807,2,25.04517326,0.0001316505924,205424,1.943505035,0.2867221072618901,False
58494774,4,30.88839938,0.0009997308557,703141,2.255112828,0.8338487394274655,False
628700841,2,27.84294617,0.002337710595,728402,0.9925172906,0.4196714356127677,False
903548635,4,20.14117629,0.0008130725671,5243536,2.219482843,1.6235721945918102,True
29354754,2,20.29339551,0.001780900248,3325385,1.06667756,0.8579881364479116,False
133256157,2,20.4975909,0.002699673296,5243536,4.724451577,1.2597830825896925,True
29671193,2,28.16286944,0.003330555639,703141,2.460083101,0.4358738441442244,False
1297142511,2,20.40895673,0.001106111805,1275185,2.20533097,0.46832751321054533,False
705703226,2,158.5640841,0.0007555104887,2960048,0.06080496928,1.769800079103916,True
30265735,2,24.52663243,0.001598503642,1275185,145.4392202,1.4872369102995826,True
208719904,2,20.32059027,0.007076379494,174302,2.129067271,0.3083774980278258,False
53728264,2,21.46804913,0.0009686026783,3325385,2.484491733,0.8691447432653301,False
681683031,2,19.98100681,0.1050209042,1275185,0.05953463846,1.354606686743168,True
158171558,2,20.37629625,0.002398069017,2051899,0.8309883349,0.618562317428455,False
108782088,2,29.56121324,0.003305756898,205424,1.835231155,0.3461761790042644,False
311852376,2,24.8231784,0.009177396972,2051899,0.2096954822,0.7053573876444748,False
250252317,2,27.28587156,0.00911760799,3325385,2.728878428,0.9837004434808859,False
579458299,2,21.8370745,0.02058064236,728402,2.559732953,0.5458419987186074,False
152948619,2,21.40122454,0.0004328398208,19471,0.2238415493,0.21563222387794764,False
